7,7,8,32,364949,364949,0,5897430,Flat Combining Fair,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,873036,873036,0,1656532440,Flat Combining Fair With Combiner Slice,Spin Parker
1,1,8,32,850033,850033,0,1751244090,Flat Combining Fair With Combiner Slice,Spin Parker
2,2,8,32,904197,904197,0,1618319280,Flat Combining Fair With Combiner Slice,Spin Parker
3,3,8,32,935813,935813,0,1632447180,Flat Combining Fair With Combiner Slice,Spin Parker
4,4,8,32,899202,899202,0,1648116840,Flat Combining Fair With Combiner Slice,Spin Parker
5,5,8,32,929553,929553,0,1647240810,Flat Combining Fair With Combiner Slice,Spin Parker
6,6,8,32,939416,939416,0,1639103340,Flat Combining Fair With Combiner Slice,Spin Parker
7,7,8,32,959429,959429,0,1518783780,Flat Combining Fair With Combiner Slice,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,367746,367746,0,68671140,Flat Combining Fair With Combiner Slice,BlockParker
1,1,8,32,363426,363426,0,3774169230,Flat Combining Fair With Combiner Slice,BlockParker
2,2,8,32,362385,362385,0,1881360840,Flat Combining Fair With Combiner Slice,BlockParker
3,3,8,32,365475,365475,0,3992784810,Flat Combining Fair With Combiner Slice,BlockParker
4,4,8,32,365669,365669,0,15389220,Flat Combining Fair With Combiner Slice,BlockParker
5,5,8,32,363577,363577,0,3018130800,Flat Combining Fair With Combiner Slice,BlockParker
6,6,8,32,364937,364937,0,16496700,Flat Combining Fair With Combiner Slice,BlockParker
7,7,8,32,364539,364539,0,13970580,Flat Combining Fair With Combiner Slice,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,2399693,2399693,0,1449778020,CCSynch,Spin Parker
1,1,8,32,2377334,2377334,0,1435016640,CCSynch,Spin Parker
2,2,8,32,2378584,2378584,0,1501184250,CCSynch,Spin Parker
3,3,8,32,2452366,2452366,0,1518039360,CCSynch,Spin Parker
4,4,8,32,2343894,2343894,0,1503373260,CCSynch,Spin Parker
5,5,8,32,2317504,2317504,0,1545138000,CCSynch,Spin Parker
6,6,8,32,2460451,2460451,0,1453540530,CCSynch,Spin Parker
7,7,8,32,2321765,2321765,0,1448983200,CCSynch,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,544972,544972,0,1479345600,CCSynch,BlockParker
1,1,8,32,542821,542821,0,1491570720,CCSynch,BlockParker
2,2,8,32,544986,544986,0,1485652530,CCSynch,BlockParker
3,3,8,32,541881,541881,0,1479952560,CCSynch,BlockParker
4,4,8,32,542761,542761,0,1464260790,CCSynch,BlockParker
5,5,8,32,542851,542851,0,1484756400,CCSynch,BlockParker
6,6,8,32,543539,543539,0,1444920750,CCSynch,BlockParker
7,7,8,32,542004,542004,0,1474807140,CCSynch,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,1232097,1232097,0,1462216620,CCSynch (Ban),Spin Parker
1,1,8,32,1212638,1212638,0,1467543270,CCSynch (Ban),Spin Parker
