Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
1,1,8,32,192433779,77496,2328,8343025050,Flat Combining Fair,Spin Parker
2,2,8,32,191348949,232432,2335,6916236450,Flat Combining Fair,Spin Parker
3,3,8,32,192410094,77496,2328,6423011010,Flat Combining Fair,Spin Parker
4,4,8,32,191271078,232466,2335,5704623660,Flat Combining Fair,Spin Parker
5,5,8,32,192357845,77495,2328,5399929680,Flat Combining Fair,Spin Parker
6,6,8,32,191255302,232470,2335,6675724440,Flat Combining Fair,Spin Parker
7,7,8,32,192337289,77494,2328,5340469500,Flat Combining Fair,Spin Parker
0,0,8,32,130808856,158158,1588,19382168970,Flat Combining Fair,BlockParker
1,1,8,32,177505375,71384,2144,2122658190,Flat Combining Fair,BlockParker
2,2,8,32,152155647,184024,1848,5527064760,Flat Combining Fair,BlockParker
3,3,8,32,177354547,71288,2142,10661778180,Flat Combining Fair,BlockParker
4,4,8,32,154050009,185992,1868,2320227420,Flat Combining Fair,BlockParker
5,5,8,32,177421121,71320,2143,6154597770,Flat Combining Fair,BlockParker
6,6,8,32,131120878,158537,1592,1950591360,Flat Combining Fair,BlockParker
7,7,8,32,177421421,71346,2143,3155227680,Flat Combining Fair,BlockParker
0,0,8,32,96647656,229842,2324,8328361590,Flat Combining Fair With Combiner Slice,Spin Parker
1,1,8,32,98834411,76662,2308,6844129830,Flat Combining Fair With Combiner Slice,Spin Parker
2,2,8,32,96440240,229929,2324,7173527550,Flat Combining Fair With Combiner Slice,Spin Parker
3,3,8,32,99530719,76662,2308,7016651580,Flat Combining Fair With Combiner Slice,Spin Parker
4,4,8,32,98420812,230006,2324,7147391160,Flat Combining Fair With Combiner Slice,Spin Parker
5,5,8,32,99255237,76661,2308,6857886540,Flat Combining Fair With Combiner Slice,Spin Parker
6,6,8,32,98597270,229793,2323,7629391140,Flat Combining Fair With Combiner Slice,Spin Parker
